title,color,emotion,speech,goal,subgoal,proficiency
Good morning everyone,Light Blue,2,Good morning everyone,Communication,Greetings,Exposure
It's great to see you all today.,Yellow,1,It's great to see you all today.,Communication,Expressive language,Understanding
How are you today,Green,4,How are you today,Communication,Receptive language,Understanding
Cool beans,Orange,0,Cool beans,Communication,Speaking up clearly,Demonstrating
Thanks for asking. I'm well too,Purple,2,Thanks for asking. I'm well too,Emotional,Empathy,Demonstrating
Okay. Big review day! Lets get started.,Light Blue,0,Okay. Big review day! Lets get started.,Cognitive,Academics,Exposure
Who can tell me what we talked about last week,Light Blue,0,Who can tell me what we talked about last week,Communication,Receptive language,Exposure
that is right,Light Blue,0,that is right,Communication,Receptive language,Understanding
Great,Light Blue,0,Great,Communication,Receptive language,Understanding
I am not sure about that.,Light Blue,0,I am not sure about that.,Communication,Expressive language,Exposure
Good job remembering,Light Blue,0,Good job remembering,Social,Compliments,Exposure
Today we are doing something else.,Light Blue,0,Today we are doing something else.,Cognitive,Problem solving,Exposure
We are going to do old mac donald had a farm yoga,Light Blue,0,We are going to do old mac donald had a farm yoga,Emotional,Respect,Practicing
yoga is stretching into shapes. like animals,Light Blue,2,yoga is stretching into shapes. like animals,Cognitive,Problem solving,Practicing
Has anyone heard of this,Light Blue,4,Has anyone heard of this,Communication,Sharing ideas,Exposure
When you make the animal sound. you also do the animal shape,Light Blue,0,When you make the animal sound. you also do the animal shape,Communication,None,Exposure
Can you make the shape of A,Light Blue,0,Can you make the shape of A,Cognitive,Problem solving,Practicing
Let us try together,Light Blue,0,Let us try together,Communication,Expressive language,Exposure
Old Mac donald had a farm,Light Blue,0,Old Mac donald had a farm,Communication,None,Practicing
e i e i o,Light Blue,0,EE eye EE eye oh,Communication,Sharing ideas,Exposure
on that farm he had a,Light Blue,0,on that farm he had a,Cognitive,Following directions,Exposure
dog,Pink,1,dog,Cognitive,Following directions,Exposure
cat,Yellow,1,cat,Cognitive,Following directions,Exposure
cow,Blue,1,cow,Cognitive,Following directions,Exposure
tree,Orange,1,tree,Cognitive,Following directions,Exposure
frog,Green,1,frog,Cognitive,Following directions,Exposure
horse,Purple,1,horse,Cognitive,Following directions,Exposure
airplane,Red,1,airplane,Cognitive,Following directions,Exposure
warrior,Yellow,1,warrior,Cognitive,Following directions,Exposure
e i e i o,Light Blue,2,EE eye EE eye oh,Communication,Expressive language,Exposure
with a,Light Blue,2,with a,Cognitive,Following directions,Exposure
Do your best imitation,Light Blue,0,Do your best imitation,Cognitive,Following directions,Practicing
try to sound like a,Orange,0,try to sound like a,Cognitive,Following directions,Practicing
make the shape of a,Green,0,make the shape of a,Cognitive,Following directions,Practicing
I am still learning to make animal sounds.,Orange,4,I am still learning to make animal sounds.,Emotional,Empathy,Exposure
it is a hard thing for a robot to learn,Orange,3,it is a hard thing for a robot to learn,Emotional,Empathy,Exposure
but I try my best,Orange,2,but I try my best,Emotional,Empathy,Exposure
can you help me learn to be better ,Yellow,4,can you help me learn to be better ,Social,Compliments,Exposure
Ok,Orange,0,Ok,Communication,None,Exposure
Great job,Green,0,Great job,Social,Compliments,Exposure
you are good at making shapes,Green,2,you are good at making shapes,Social,Compliments,Exposure
you look just like a,Green,1,you look just like a,Social,Compliments,Exposure
Robots are not so good at shapes,Green,3,Robots are not so good at shapes,Emotional,Empathy,Exposure
Here is my best try,Green,0,Here is my best try,Emotional,Empathy,Exposure
let me try again,Light Blue,4,let me try again,Emotional,Empathy,Exposure
what did you think,Blue,4,what did you think,Social,Criticism,Practicing
Thank you,Green,2,Thank you,Communication,Being Polite,Exposure
It is great who have someone to teach me,Yellow,2,It is great who have someone to teach me,Social,Joining others,Exposure
I will try harder next time,Yellow,2,I will try harder next time,Social,None,Exposure
woof woof ,Pink,1,woof woof ,Cognitive,Following directions,Exposure
Here,Red,2,Here,Cognitive,Following directions,Exposure
There,Yellow,2,There,Cognitive,Following directions,Exposure
Everywhere,Green,2,Everywhere,Cognitive,Following directions,Exposure
A ,Light Blue,2,A ,Cognitive,Following directions,Exposure
Old Mac donald had a farm,Light Blue,2,Old Mac donald had a farm,Communication,Sharing ideas,Exposure
e i e i o,Light Blue,2,EE eye EE eye oh,Cognitive,Following directions,Exposure
meow meow,Yellow,1,meow meow,Cognitive,Following directions,Exposure
moo moo,Blue,1,moo moo,Cognitive,Following directions,Exposure
woosh woosh,Orange,1,woosh woosh,Cognitive,Following directions,Exposure
ribit ribit,Green,1,ribit ribit,Cognitive,Following directions,Exposure
nay nay,Purple,1,nay nay,Cognitive,Following directions,Exposure
zoom zoom,Red,1,zoom zoom,Cognitive,Following directions,Exposure
yeah yeah,Yellow,1,yeah yeah,Cognitive,Following directions,Exposure
Here,Red,2,Here,Cognitive,Following directions,Exposure
There,Yellow,2,There,Cognitive,Following directions,Exposure
Everywhere,Green,2,Everywhere,Cognitive,Following directions,Exposure
A ,Light Blue,2,A ,Cognitive,Following directions,Exposure
Old Mac donald had a farm,Light Blue,0,Old Mac donald had a farm,Communication,Sharing ideas,Exposure
e i e i o,Light Blue,0,EE eye EE eye oh,Communication,Expressive language,Demonstrating
Great job,Light Blue,0,Great job,Communication,Receptive language,Demonstrating
You were amazing,Light Blue,0,You were amazing,Communication,Expressive language,Practicing
I love playing with you,Yellow,2,I love playing with you,Communication,Expressive language,Exposure
I learned so much,Green,2,I learned so much,Communication,Expressive language,Exposure
You were so fun,Yellow,2,You were so fun,Social,Compliments,Exposure
what did you think of the game,Light Blue,0,what did you think of the game,Social,Taking turns,Demonstrating
Wow,Blue,0,Wow,Communication,Expressive language,Exposure
Thank you for sharing with me,Pink,2,Thank you for sharing with me,Communication,Expressive language,Exposure
I will try to remember that.,Light Blue,0,I will try to remember that.,Communication,Expressive language,Exposure
You have big ideas.,Yellow,0,You have big ideas.,Social,Compliments,Exposure
I will see you next time,Light Blue,2,I will see you next time,Social,Compliments,Demonstrating
I hope soon,Light Blue,2,I hope soon,Emotional,Respect,Practicing
I need a power nap,Blue,0,I need a power nap,Communication,Expressive language,Understanding
bye bye,Blue,0,bye bye,Communication,Expressive language,Understanding